Timestamp,Nationality,Age,Marital Status,Number of dependents,What percentage of your income goes to expenses related to your dependents?,Gender,Type of Employment,Are you in the Public or Private Sector?,Highest Educational Level,Which Region of Ghana Are You Based in?,What Industry do you work in?,What is the range of your take-home monthly income including all allowances and side endeavours?,Is your income mainly from a company/business based in Ghana or abroad?,Working arrangement.,How many months' worth of expenses do you have saved up?,Including your retirement benefits but excluding any physical assets? How much do you have saved up?,Do you own a home?,Do you own a car?
08/06/2023 15:31:56,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Print & Packaging ,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 15:32:08,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Informally Employed,Private Sector,Professional Certification Only,Greater Accra,Education,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 15:32:21,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Public Sector,Professional Certification Only,Northern,Health,"GH¢1,001 - GH¢2,499",Ghana-Based,Remote working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 15:33:59,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 15:34:05,Ghanaian,36 - 45,Unmarried (never before married),1-3,5% or less,Male,Unemployed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 15:35:36,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 15:35:47,Ghanaian,25 and below,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Senior High School and Below,Greater Accra,Sanitation & Public Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 15:35:55,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",Yes,Yes
08/06/2023 15:36:14,Ghanaian,26 - 35,Unmarried (never before married),None,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Western,Education,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 15:43:28,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Informally Employed,Private Sector,Graduate,Greater Accra,Trade in Goods,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,More than 12 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 15:43:43,Ghanaian,26 - 35,Married,1-3,6-10%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",Yes,Yes
08/06/2023 15:44:25,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 15:45:21,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Unemployed,,Graduate,Greater Accra,Unemployed ,"GH¢1,000 and below",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 15:45:48,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Public Sector,Graduate,Volta,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 15:47:53,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 15:48:32,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Female,Informally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 15:49:59,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,Remote working,1 - 3 months,"GH¢100,000 - GH¢199,999",Yes,No
08/06/2023 15:50:23,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 15:51:27,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Self-Employed,Private Sector,Graduate,Greater Accra,Creative Arts & Entertainment,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 15:52:52,Ghanaian,25 and below,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 15:53:35,Ghanaian,26 - 35,Unmarried (never before married),4-7,More than 50%,Male,Informally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢10,000 - GH¢14,999",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 15:55:05,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 15:57:39,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No
08/06/2023 15:59:16,Ghanaian,26 - 35,Unmarried (never before married),4-7,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 16:01:16,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 16:02:42,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Security Services,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:02:49,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Female,Informally Employed,Public Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,More than 12 months,"GH¢10,000 or less",No,Yes
08/06/2023 16:03:40,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 16:05:42,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Self-Employed,Private Sector,Senior High School and Below,Greater Accra,Trade in Goods,"GH¢1,001 - GH¢2,499",Abroad,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 16:06:14,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Informally Employed,Private Sector,Senior High School and Below,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,000 and below",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:08:03,Ghanaian,25 and below,Unmarried (never before married),None,6-10%,Male,Formally Employed,Public Sector,Graduate,Ashanti,Sanitation & Public Health,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 16:08:44,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Informally Employed,Public Sector,Graduate,Western North,Water Production and Distribution ,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:09:44,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Oti,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 16:10:25,Ghanaian,36 - 45,Married,4-7,31% - 40%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Abroad,On-site working,4 - 7 months,"GH¢200,000 - GH¢499,999",No,Yes
08/06/2023 16:11:28,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Leadership development,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 16:12:01,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Public Sector,Graduate,Ashanti,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:13:07,Ghanaian,36 - 45,Unmarried (never before married),4-7,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Creative Arts & Entertainment,"GH¢5,000 - GH¢7,499",Abroad,Hybrid of on-site & remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 16:17:32,Ghanaian,26 - 35,Unmarried (never before married),None,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Legal Services,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:19:01,Ghanaian,26 - 35,Married,None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 16:19:37,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Self-Employed,Private Sector,Graduate,Greater Accra,Creative Arts & Entertainment,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,8 - 12 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 16:20:01,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Food Manufacturing ,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 16:20:26,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,8 - 12 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:22:55,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 16:24:00,Ghanaian,25 and below,Unmarried (never before married),None,6-10%,Male,Formally Employed,Public Sector,Graduate,Volta,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 16:24:11,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Male,Formally Employed,Private Sector,Graduate,Bono,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",Yes,No
08/06/2023 16:25:19,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Informally Employed,Private Sector,Graduate,Eastern Region,Agriculture ,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:27:11,Ghanaian,26 - 35,Unmarried (never before married),4-7,11% - 20%,Male,Informally Employed,Private Sector,Senior High School and Below,Ashanti,Security Services,"GH¢2,500 - GH¢4,999",Abroad,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:28:09,Ghanaian,25 and below,Unmarried (never before married),None,41% - 50%,Male,Self-Employed,Private Sector,Graduate,Western,"Transport, Logistics & Supply Chain Management","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:28:38,Ghanaian,25 and below,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Senior High School and Below,Greater Accra,Trade in Goods,"GH¢1,000 and below",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 16:28:39,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Abroad,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:30:00,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,Yes
08/06/2023 16:30:12,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:32:26,Ghanaian,36 - 45,Unmarried (never before married),1-3,31% - 40%,Male,Informally Employed,Private Sector,Senior High School and Below,Volta,Lottery ,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:34:43,Ghanaian,25 and below,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 16:40:07,Ghanaian,36 - 45,Married,1-3,31% - 40%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 16:40:14,Ghanaian,26 - 35,Married,1-3,41% - 50%,Male,Formally Employed,Public Sector,Graduate,Central,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 16:41:03,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Government & Politics,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:45:33,Ghanaian,26 - 35,Married,1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢50,000 and above",Abroad,Hybrid of on-site & remote working,4 - 7 months,"GH¢3,000,000 - GH¢9,999,999",Yes,No
08/06/2023 16:46:55,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:48:15,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Legal Services,"GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 16:50:49,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢5,000 - GH¢7,499",Abroad,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:52:27,Ghanaian,26 - 35,Married,1-3,6-10%,Prefer not to say,Formally Employed,Private Sector,Post-Graduate,Volta,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 16:54:21,Ghanaian,25 and below,Unmarried (never before married),1-3,More than 50%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Abroad,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:54:52,Ghanaian,26 - 35,Married,None,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Health,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,Yes
08/06/2023 16:55:15,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 16:58:15,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢5,000 - GH¢7,499",Abroad,On-site working,More than 12 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 16:58:35,Ghanaian,36 - 45,Unmarried (never before married),None,,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,8 - 12 months,"GH¢500,000 - GH¢999,999",Yes,Yes
08/06/2023 16:58:55,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Informally Employed,Private Sector,Senior High School and Below,Bono East,Technology & Telecommunication,"GH¢1,000 and below",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:00:21,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 17:02:49,Ghanaian,26 - 35,Unmarried (never before married),More than 7,More than 50%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,More than 12 months,"GH¢10,000 or less",No,No
08/06/2023 17:08:08,Ghanaian,36 - 45,Unmarried (never before married),None,11% - 20%,Male,Formally Employed,Public Sector,Professional Certification Only,Bono,Teaching,"GH¢2,500 - GH¢4,999",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:09:04,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢200,000 - GH¢499,999",No,Yes
08/06/2023 17:10:01,Ghanaian,25 and below,Unmarried (never before married),None,,Female,Full-time Student,Public Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢1,000 and below",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:14:05,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 17:16:20,Ghanaian,26 - 35,Unmarried (never before married),4-7,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Abroad,Remote working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 17:17:16,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Prefer not to say,Formally Employed,Private Sector,Graduate,Greater Accra,Creative Arts & Entertainment,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:18:14,Ghanaian,25 and below,Unmarried (never before married),None,6-10%,Male,Formally Employed,Public Sector,Senior High School and Below,Ashanti,Security Services,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:21:30,Ghanaian,25 and below,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:21:43,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 17:25:44,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Public Sector,Post-Graduate,Volta,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:26:17,Ghanaian,25 and below,Unmarried (never before married),None,6-10%,Male,Informally Employed,Private Sector,Senior High School and Below,Greater Accra,Security Services,"GH¢1,000 and below",Abroad,On-site working,4 - 7 months,"GH¢10,000 or less",No,No
08/06/2023 17:29:39,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No
08/06/2023 17:31:41,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Trade in Goods,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:37:51,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Foreign Mission/Diplomacy,"GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,Yes
08/06/2023 17:39:19,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢1,001 - GH¢2,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:43:20,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 17:45:08,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,21% - 30%,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Education,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
08/06/2023 17:47:15,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
08/06/2023 17:49:59,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 17:57:39,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Manufacturing ,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 18:01:42,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Self-Employed,Private Sector,Graduate,Greater Accra,Trade in Goods,"GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 18:04:12,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Oti,Government & Politics,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 18:11:52,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",Yes,Yes
08/06/2023 18:12:42,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 18:13:11,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Central,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
08/06/2023 18:13:26,Ghanaian,26 - 35,Married,1-3,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",Yes,Yes
