timestamp,nationality,age,marital_status,number_of_dependents,what_percentage_of_your_income_goes_to_expenses_related_to_your_dependents,gender,type_of_employment,are_you_in_the_public_or_private_sector,highest_educational_level,which_region_of_ghana_are_you_based_in,what_industry_do_you_work_in,monthly_income,is_your_income_mainly_from_a_company_business_based_in_ghana_or_abroad,working_arrangement,months_spending_saved,amount_saved,do_you_own_a_home,do_you_own_a_car,survey,how_long_have_you_been_working_for,which_currency_do_you_primarily_earn_in,monthly_income_group,amount_saved_group
2023-06-09T09:06:52Z,Ghanaian,26 - 35,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Ashanti,Non-Profit Organizations & Civil Society,"GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢30,000 - GH¢49,999",Yes,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢30,000 - GH¢49,999"
2023-06-09T09:13:36Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Hospitality - Hotels, Travel, Restaurants & Others","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T09:17:26Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Trade in Goods,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢50,000 - GH¢99,999"
2023-06-09T09:19:46Z,Ghanaian,26 - 35,Unmarried (never before married),4-7,More than 50%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-09T09:26:13Z,Ghanaian,26 - 35,Married,1-3,31% - 40%,Male,Formally Employed,Public Sector,Graduate,Volta,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T09:30:00Z,Ghanaian,25 and below,"Unmarried (divorced, widowed or separated)",None,5% or less,Male,Full-time Student,Private Sector,Post-Graduate,Ashanti,"Transport, Logistics & Supply Chain Management","GH¢1,000 and below",Ghana-Based,Remote working,1 - 3 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T09:41:09Z,Ghanaian,36 - 45,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Public Sector,Post-Graduate,Eastern Region,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,8 - 12 months,"GH¢500,000 - GH¢999,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-09T09:59:27Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,8 - 12 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:01:56Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Unemployed,NA,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,000 and below",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:30:42Z,Ghanaian,36 - 45,Married,1-3,More than 50%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T10:32:01Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Public Sector,Graduate,Ahafo,Health,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:36:56Z,Ghanaian,46 - 59,Married,4-7,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Central,Trade in Goods,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢100,000 - GH¢199,999"
2023-06-09T10:47:47Z,Ghanaian,25 and below,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:48:33Z,Ghanaian,36 - 45,Unmarried (never before married),None,6-10%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:53:13Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Remote working,8 - 12 months,"GH¢1,000,000 - GH¢2,999,999",Yes,No,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-09T10:53:41Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-09T10:56:59Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-09T10:57:21Z,Ghanaian,25 and below,Unmarried (never before married),None,11% - 20%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T10:57:24Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-09T10:57:34Z,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢30,000 - GH¢49,999",Abroad,Remote working,4 - 7 months,"GH¢100,000 - GH¢199,999",Yes,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢100,000 - GH¢199,999"
2023-06-09T10:57:47Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢10,000 or less"
2023-06-09T10:58:24Z,Ghanaian,26 - 35,Married,None,More than 50%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢5,000 - GH¢7,499",Abroad,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-09T11:00:16Z,Ghanaian,36 - 45,Married,1-3,31% - 40%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Education,"GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,000 or less"
2023-06-09T11:00:28Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:05:01Z,Ghanaian,36 - 45,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Ashanti,"Communications, Advertising, Branding, PR & Marketing","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:05:06Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T11:05:18Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Informally Employed,Private Sector,Senior High School and Below,Central,Education,"GH¢1,000 and below",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",Yes,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢100,000 - GH¢199,999"
2023-06-09T11:05:52Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T11:06:10Z,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:07:04Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Male,Formally Employed,Public Sector,Graduate,Western,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:07:09Z,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Volta,Security Services,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-09T11:07:11Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Abroad,Remote working,1 - 3 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,000 or less"
2023-06-09T11:09:34Z,Ghanaian,26 - 35,Married,1-3,31% - 40%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢7,500 - GH¢9,999",Abroad,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T11:11:04Z,Ghanaian,26 - 35,Unmarried (never before married),More than 7,6-10%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Education,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢1,000,000 - GH¢2,999,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢200,000 and above"
2023-06-09T11:12:35Z,Ghanaian,36 - 45,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,micro insurance,"GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",Yes,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,000 or less"
2023-06-09T11:12:55Z,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Female,Formally Employed,Public Sector,Graduate,Western,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢30,000 - GH¢49,999"
2023-06-09T11:13:32Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-09T11:14:33Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Legal Services,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:14:59Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Eastern Region,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:17:52Z,Ghanaian,26 - 35,Married,1-3,6-10%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:18:25Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",Yes,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:20:21Z,Ghanaian,36 - 45,Married,1-3,31% - 40%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,8 - 12 months,"GH¢200,000 - GH¢499,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢200,000 and above"
2023-06-09T11:24:12Z,Ghanaian,25 and below,Unmarried (never before married),1-3,6-10%,Male,Informally Employed,Private Sector,Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:29:51Z,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,11% - 20%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Legal Services,"GH¢30,000 - GH¢49,999",Ghana-Based,On-site working,4 - 7 months,"GH¢200,000 - GH¢499,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-09T11:34:14Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Public Sector,Post-Graduate,Volta,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:34:23Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:35:35Z,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢50,000 and above",Abroad,On-site working,More than 12 months,"GH¢1,000,000 - GH¢2,999,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-09T11:35:38Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Post-Graduate,Ashanti,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,More than 12 months,"GH¢200,000 - GH¢499,999",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢200,000 and above"
2023-06-09T11:35:48Z,Ghanaian,25 and below,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:37:40Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Central,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:39:49Z,Ghanaian,46 - 59,Married,1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-09T11:41:10Z,Ghanaian,36 - 45,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Legal Services,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:42:16Z,Ghanaian,36 - 45,Married,4-7,31% - 40%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢500,000 - GH¢999,999",Yes,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢200,000 and above"
2023-06-09T11:42:37Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢30,000 - GH¢49,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-09T11:42:50Z,Ghanaian,26 - 35,Married,1-3,41% - 50%,Male,Formally Employed,Public Sector,Post-Graduate,Ashanti,Government & Politics,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:43:05Z,Ghanaian,25 and below,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:43:11Z,Ghanaian,26 - 35,Married,None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:43:14Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Public Sector,Graduate,Ashanti,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-09T11:45:31Z,Ghanaian,26 - 35,Unmarried (never before married),None,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Education,"GH¢10,000 - GH¢14,999",Abroad,Remote working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢30,000 - GH¢49,999"
2023-06-09T11:45:40Z,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",Yes,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢10,000 or less"
2023-06-09T11:45:54Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Male,Formally Employed,Public Sector,Graduate,Ashanti,Security Services,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,More than 12 months,"GH¢30,000 - GH¢49,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-09T11:47:31Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Female,Self-Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,000 or less"
2023-06-09T11:48:46Z,Ghanaian,26 - 35,Unmarried (never before married),None,More than 50%,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,Remote working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:48:57Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Informally Employed,Private Sector,Graduate,Greater Accra,Journalism,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",Yes,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:49:18Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Journalism,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:49:34Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Creative Arts & Entertainment,"GH¢30,000 - GH¢49,999",Abroad,Remote working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢20,000 and above","GH¢10,000 or less"
2023-06-09T11:50:11Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T11:56:46Z,Ghanaian,26 - 35,Married,1-3,31% - 40%,Male,Informally Employed,Private Sector,Post-Graduate,Greater Accra,Education,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T11:59:04Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T11:59:10Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢10,000 - GH¢14,999",Ghana-Based,Remote working,8 - 12 months,"GH¢100,000 - GH¢199,999",No,No,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-09T12:00:04Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-09T12:01:20Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Public Sector,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-09T12:01:21Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢50,000 - GH¢99,999"
